date;time;tempmeas;refcool;refheat;ctrlenabled;forcefan;
25/08/2013;19:46:16;76;76;63;3;0;
25/08/2013;19:46:21;76;76;63;3;0;
25/08/2013;19:59:55;76;76;63;2;0;
25/08/2013;20:00:06;76;76;63;2;0;
25/08/2013;20:01:20;76;76;63;2;0;
25/08/2013;20:01:28;76;75;63;3;0;
25/08/2013;20:01:34;76;74;63;3;0;
25/08/2013;20:46:55;74;74;63;2;0;
25/08/2013;20:47:02;74;74;63;5;0;
25/08/2013;20:48:00;74;74;63;5;0;
25/08/2013;20:49:00;74;74;63;5;0;
25/08/2013;21:00:04;74;74;63;5;0;
25/08/2013;21:01:04;74;74;63;5;0;
25/08/2013;21:12:27;75;74;63;5;0;
25/08/2013;21:13:31;75;74;63;5;0;
25/08/2013;21:14:43;75;74;63;5;0;
25/08/2013;21:17:55;75;74;63;5;0;
25/08/2013;21:19:51;75;74;63;5;0;
25/08/2013;21:20:57;75;74;63;5;0;
25/08/2013;21:21:28;75;74;63;3;0;
25/08/2013;21:21:53;75;74;63;5;0;
25/08/2013;21:22:50;75;74;63;5;0;
25/08/2013;21:27:44;75;74;63;5;0;
25/08/2013;21:28:43;75;74;63;5;0;
25/08/2013;21:38:27;75,0;74,0;63,0;5;0;
25/08/2013;21:40:12;75,0;74,0;63,0;5;0;
25/08/2013;21:41:53;75,0;74,0;63,0;5;0;
25/08/2013;21:42:11;75,0;74,0;63,0;5;0;
25/08/2013;21:43:11;75,0;74,0;63,0;5;0;
25/08/2013;21:44:44;75,0;74,0;63,0;5;0;
25/08/2013;21:45:44;75,0;74,0;63,0;5;0;
25/08/2013;21:46:44;75,0;74,0;63,0;5;0;
25/08/2013;21:47:44;75,0;74,0;63,0;5;0;
25/08/2013;21:48:43;76,0;74,0;63,0;5;0;
25/08/2013;21:48:53;76,0;74,0;63,0;5;0;
25/08/2013;21:49:04;76,0;74,0;63,0;5;0;
25/08/2013;21:49:49;76,0;74,0;63,0;5;0;
25/08/2013;21:51:52;75,0;74,0;63,0;5;0;
25/08/2013;21:53:16;75,5;74,3;63,0;5;0;
25/08/2013;21:54:16;75,5;74,3;63,0;5;0;
25/08/2013;21:55:16;75,5;74,3;63,0;5;0;
25/08/2013;21:56:16;75,6;74,3;63,0;5;0;
25/08/2013;21:57:15;75,6;74,3;63,0;5;0;
25/08/2013;21:58:16;75,6;74,3;63,0;5;0;
25/08/2013;21:59:16;75,6;74,3;63,0;5;0;
25/08/2013;22:00:16;75,6;74,3;63,0;5;0;
25/08/2013;22:01:16;75,6;74,3;63,0;5;0;
25/08/2013;22:02:16;75,7;74,3;63,0;5;0;
25/08/2013;22:03:16;75,7;74,3;63,0;5;0;
25/08/2013;22:04:16;75,7;74,3;63,0;5;0;
25/08/2013;22:05:16;75,7;74,3;63,0;5;0;
25/08/2013;22:06:16;75,7;74,3;63,0;5;0;
25/08/2013;22:07:16;75,7;74,3;63,0;5;0;
25/08/2013;22:08:16;75,7;74,3;63,0;5;0;
25/08/2013;22:09:16;75,7;74,3;63,0;5;0;
25/08/2013;23:55:07;76,2;74,3;63,0;5;0;
25/08/2013;23:55:16;76,2;74,3;63,0;5;-1;
25/08/2013;23:56:14;76,1;74,3;63,0;5;-1;
25/08/2013;23:57:14;76,1;74,3;63,0;5;-1;
25/08/2013;23:58:14;76,1;74,3;63,0;5;-1;
25/08/2013;23:59:14;76,0;74,3;63,0;5;-1;
26/08/2013;00:00:14;76,0;74,3;63,0;5;-1;
26/08/2013;00:01:14;76,1;74,3;63,0;5;-1;
26/08/2013;00:02:14;76,0;74,3;63,0;5;-1;
26/08/2013;00:04:14;76,0;74,3;63,0;5;-1;
26/08/2013;00:05:14;75,9;74,3;63,0;5;-1;
26/08/2013;00:06:14;75,9;74,3;63,0;5;-1;
26/08/2013;00:07:14;75,8;74,3;63,0;5;-1;
26/08/2013;00:08:14;75,8;74,3;63,0;5;-1;
26/08/2013;00:09:14;75,8;74,3;63,0;5;-1;
26/08/2013;00:10:14;75,8;74,3;63,0;5;-1;
26/08/2013;00:11:15;75,8;74,3;63,0;5;-1;
26/08/2013;00:12:14;75,8;74,3;63,0;5;-1;
26/08/2013;00:13:23;75,8;74,3;63,0;5;-1;
26/08/2013;00:13:51;75,8;74,3;63,0;5;0;
26/08/2013;00:14:10;75,8;74,3;63,0;2;0;
26/08/2013;00:14:21;75,8;75,2;63,0;3;0;
26/08/2013;00:14:43;75,8;75,4;63,0;3;0;
